Japonais kanji,Japonais simple,Français,Topic,Section,Niveau
あ／あっ,あ／あっ,Ah,T1,aucune,A2/B1
アイスホッケー,アイスホッケー,le hockey sur glace,T1,aucune,A2/B1
あきらめます,あきらめます,abandonner,T1,aucune,A2/B1
あさって,あさって,après-demain,T1,aucune,A2/B1
明日,あした,demain,T1,aucune,A2/B1
熱い,あつい,chaud (objet),T1,aucune,A2/B1
後,あと,après,T1,aucune,A2/B1
あの／あのう,あの／あのう,hum / euh,T1,aucune,A2/B1
あべ／あべさん,あべ／あべさん,Abe / Madame Abe,T1,aucune,A2/B1
あまり,あまり,trop (あまり～ない : pas trop),T1,aucune,A2/B1
ありがとう,ありがとう,merci,T1,aucune,A2/B1
あります,あります,avoir / y avoir,T1,aucune,A2/B1
歩きます,あるきます,marcher,T1,aucune,A2/B1
アルバイト,アルバイト,travail à temps partiel / petit boulot,T1,aucune,A2/B1
いい(よさ),いい(よさ),bon / bien,T1,aucune,A2/B1
言います,いいます,dire,T1,aucune,A2/B1
行きます,いきます,aller,T1,aucune,A2/B1
忙しい,いそがしい,être occupé,T1,aucune,A2/B1
一度,いちど,une fois,T1,aucune,A2/B1
いつ,いつ,Quand ?,T1,aucune,A2/B1
いっしょ,いっしょ,ensemble,T1,aucune,A2/B1
いっしょに,いっしょに,ensemble,T1,aucune,A2/B1
行ってきます,いってきます,aller (et revenir),T1,aucune,A2/B1
いっぱい,いっぱい,plein,T1,aucune,A2/B1
いなか,いなか,la campagne,T1,aucune,A2/B1
います,います,être là / y avoir,T1,aucune,A2/B1
イラスト,イラスト,l'illustration,T1,aucune,A2/B1
受けとります,うけとります,recevoir / accepter,T1,aucune,A2/B1
(家),うち,chez soi,T1,aucune,A2/B1
うれしい,うれしい,être heureux,T1,aucune,A2/B1
え／えっ,え／えっ,Hein ? / Quoi ? / Comment !,T1,aucune,A2/B1
駅,えき,la gare / la station,T1,aucune,A2/B1
えんりょ(します),えんりょ(します),la retenue / la réserve (s'abstenir de),T1,aucune,A2/B1
応援(します),おうえん(します),les encouragements (encourager),T1,aucune,A2/B1
大喜び,おおよろこび,exultation (exulter),T1,aucune,A2/B1
おこります,おこります,s'énerver / se fâcher,T1,aucune,A2/B1
おそい,おそい,tard / en retard,T1,aucune,A2/B1
弟,おとうと,mon petit frère,T1,aucune,A2/B1
